data,sku,categoria,regime_verdadeiro,unidades,preco,flag_promocao,temperatura_media
2023-01-01,SKU_00,bebidas,smooth,115.0,7.87,0,22.6
2023-01-02,SKU_00,bebidas,smooth,135.0,7.87,0,20.0
2023-01-03,SKU_00,bebidas,smooth,182.0,6.56,1,23.7
2023-01-04,SKU_00,bebidas,smooth,118.0,8.2,0,24.2
2023-01-05,SKU_00,bebidas,smooth,166.0,8.02,0,18.5
2023-01-06,SKU_00,bebidas,smooth,100.0,6.63,1,19.9
2023-01-07,SKU_00,bebidas,smooth,133.0,8.16,0,22.8
2023-01-08,SKU_00,bebidas,smooth,187.0,6.69,1,22.0
2023-01-09,SKU_00,bebidas,smooth,198.0,7.72,0,22.7
2023-01-10,SKU_00,bebidas,smooth,136.0,8.2,0,21.2
2023-01-11,SKU_00,bebidas,smooth,170.0,7.89,0,24.7
2023-01-12,SKU_00,bebidas,smooth,113.0,7.92,0,24.6
2023-01-13,SKU_00,bebidas,smooth,63.0,8.01,0,23.3
2023-01-14,SKU_00,bebidas,smooth,91.0,8.23,0,25.5
2023-01-15,SKU_00,bebidas,smooth,249.0,6.8,1,24.3
2023-01-16,SKU_00,bebidas,smooth,129.0,7.76,0,21.8
2023-01-17,SKU_00,bebidas,smooth,99.0,8.11,0,24.3
2023-01-18,SKU_00,bebidas,smooth,92.0,7.9,0,21.8
2023-01-19,SKU_00,bebidas,smooth,98.0,8.38,0,25.6
2023-01-20,SKU_00,bebidas,smooth,52.0,8.0,0,23.8
2023-01-21,SKU_00,bebidas,smooth,82.0,7.55,0,23.6
2023-01-22,SKU_00,bebidas,smooth,175.0,8.07,0,22.7
2023-01-23,SKU_00,bebidas,smooth,143.0,8.39,0,26.7
2023-01-24,SKU_00,bebidas,smooth,78.0,8.32,0,24.0
2023-01-25,SKU_00,bebidas,smooth,130.0,8.37,0,23.6
2023-01-26,SKU_00,bebidas,smooth,132.0,7.8,0,23.8
2023-01-27,SKU_00,bebidas,smooth,141.0,8.18,0,25.7
2023-01-28,SKU_00,bebidas,smooth,59.0,7.86,0,25.5
2023-01-29,SKU_00,bebidas,smooth,130.0,8.04,0,25.6
2023-01-30,SKU_00,bebidas,smooth,219.0,7.75,0,25.8
2023-01-31,SKU_00,bebidas,smooth,173.0,7.87,0,29.3
2023-02-01,SKU_00,bebidas,smooth,0.0,7.86,0,24.3
2023-02-02,SKU_00,bebidas,smooth,145.0,8.18,0,24.2
2023-02-03,SKU_00,bebidas,smooth,130.0,6.96,1,23.7
2023-02-04,SKU_00,bebidas,smooth,155.0,6.86,1,26.7
2023-02-05,SKU_00,bebidas,smooth,124.0,7.73,0,27.8
2023-02-06,SKU_00,bebidas,smooth,261.0,6.74,1,25.4
2023-02-07,SKU_00,bebidas,smooth,101.0,7.85,0,24.1
2023-02-08,SKU_00,bebidas,smooth,155.0,8.17,0,24.2
2023-02-09,SKU_00,bebidas,smooth,159.0,8.24,0,27.2
2023-02-10,SKU_00,bebidas,smooth,77.0,8.21,0,27.5
2023-02-11,SKU_00,bebidas,smooth,90.0,7.85,0,27.2
2023-02-12,SKU_00,bebidas,smooth,125.0,7.45,0,24.9
2023-02-13,SKU_00,bebidas,smooth,116.0,7.65,0,26.8
2023-02-14,SKU_00,bebidas,smooth,139.0,8.28,0,26.6
2023-02-15,SKU_00,bebidas,smooth,117.0,7.92,0,26.9
2023-02-16,SKU_00,bebidas,smooth,170.0,7.85,0,28.3
2023-02-17,SKU_00,bebidas,smooth,68.0,8.33,0,27.1
2023-02-18,SKU_00,bebidas,smooth,111.0,8.25,0,28.1
2023-02-19,SKU_00,bebidas,smooth,116.0,8.0,0,27.0
2023-02-20,SKU_00,bebidas,smooth,198.0,6.74,1,27.5
2023-02-21,SKU_00,bebidas,smooth,197.0,6.77,1,28.3
2023-02-22,SKU_00,bebidas,smooth,203.0,8.05,0,24.2
2023-02-23,SKU_00,bebidas,smooth,168.0,8.32,0,26.6
2023-02-24,SKU_00,bebidas,smooth,86.0,8.08,0,26.4
2023-02-25,SKU_00,bebidas,smooth,102.0,8.15,0,26.1
2023-02-26,SKU_00,bebidas,smooth,93.0,8.23,0,26.9
2023-02-27,SKU_00,bebidas,smooth,165.0,7.77,0,30.6
2023-02-28,SKU_00,bebidas,smooth,251.0,8.15,0,25.9
2023-03-01,SKU_00,bebidas,smooth,171.0,7.94,0,29.7
2023-03-02,SKU_00,bebidas,smooth,221.0,6.3,1,24.4
2023-03-03,SKU_00,bebidas,smooth,107.0,7.57,0,27.2
2023-03-04,SKU_00,bebidas,smooth,119.0,7.8,0,28.3
2023-03-05,SKU_00,bebidas,smooth,101.0,8.11,0,29.2
2023-03-06,SKU_00,bebidas,smooth,109.0,8.02,0,29.5
2023-03-07,SKU_00,bebidas,smooth,254.0,6.84,1,29.8
2023-03-08,SKU_00,bebidas,smooth,134.0,8.39,0,27.6
2023-03-09,SKU_00,bebidas,smooth,222.0,7.75,0,27.4
2023-03-10,SKU_00,bebidas,smooth,92.0,7.99,0,30.1
2023-03-11,SKU_00,bebidas,smooth,60.0,8.06,0,28.1
2023-03-12,SKU_00,bebidas,smooth,115.0,7.85,0,26.0
2023-03-13,SKU_00,bebidas,smooth,80.0,8.01,0,26.3
2023-03-14,SKU_00,bebidas,smooth,150.0,7.68,0,26.8
2023-03-15,SKU_00,bebidas,smooth,161.0,8.28,0,29.7
2023-03-16,SKU_00,bebidas,smooth,150.0,7.86,0,29.1
2023-03-17,SKU_00,bebidas,smooth,131.0,8.41,0,30.3
2023-03-18,SKU_00,bebidas,smooth,130.0,7.99,0,28.1
2023-03-19,SKU_00,bebidas,smooth,161.0,8.21,0,29.3
2023-03-20,SKU_00,bebidas,smooth,100.0,7.99,0,30.3
2023-03-21,SKU_00,bebidas,smooth,192.0,7.99,0,28.5
2023-03-22,SKU_00,bebidas,smooth,0.0,6.68,1,30.1
2023-03-23,SKU_00,bebidas,smooth,177.0,8.02,0,27.9
2023-03-24,SKU_00,bebidas,smooth,125.0,8.06,0,28.5
2023-03-25,SKU_00,bebidas,smooth,73.0,7.84,0,28.5
2023-03-26,SKU_00,bebidas,smooth,264.0,7.97,0,27.0
